Date,Bitcoin_Value Prediction ($)
1/1/22 23:59,35136.58504
1/2/22 23:59,35527.39127
1/3/22 23:59,35855.09211
1/4/22 23:59,36149.49132
1/5/22 23:59,36421.15815
1/6/22 23:59,36675.2575
1/7/22 23:59,36914.84706
1/8/22 23:59,37141.99312
1/9/22 23:59,37358.22733
1/10/22 23:59,37564.75899
1/11/22 23:59,37762.58403
1/12/22 23:59,37952.54566
1/13/22 23:59,38135.37099
1/14/22 23:59,38311.69479
1/15/22 23:59,38482.07585
1/16/22 23:59,38647.00908
1/17/22 23:59,38806.93476
1/18/22 23:59,38962.24597
1/19/22 23:59,39113.29468
1/20/22 23:59,39260.39685
1/21/22 23:59,39403.83679
1/22/22 23:59,39543.87088
1/23/22 23:59,39680.73084
1/24/22 23:59,39814.62649
1/25/22 23:59,39945.74825
1/26/22 23:59,40074.26924
1/27/22 23:59,40200.34724
1/28/22 23:59,40324.12625
1/29/22 23:59,40445.73804
1/30/22 23:59,40565.30336
1/31/22 23:59,40682.93312
2/1/22 23:59,40798.72939
2/2/22 23:59,40912.78624
2/3/22 23:59,41025.19058
2/4/22 23:59,41136.02282
2/5/22 23:59,41245.35752
2/6/22 23:59,41353.26391
2/7/22 23:59,41459.80637
2/8/22 23:59,41565.04493
2/9/22 23:59,41669.03559
2/10/22 23:59,41771.8307
2/11/22 23:59,41873.47927
2/12/22 23:59,41974.02728
2/13/22 23:59,42073.51786
2/14/22 23:59,42171.99159
2/15/22 23:59,42269.48668
2/16/22 23:59,42366.03914
2/17/22 23:59,42461.68296
2/18/22 23:59,42556.45028
2/19/22 23:59,42650.3715
2/20/22 23:59,42743.47541
2/21/22 23:59,42835.78933
2/22/22 23:59,42927.33917
2/23/22 23:59,43018.14957
2/24/22 23:59,43108.24396
2/25/22 23:59,43197.64465
2/26/22 23:59,43286.3729
2/27/22 23:59,43374.44899
2/28/22 23:59,43461.89227
3/1/22 23:59,43548.72124
3/2/22 23:59,43634.95358
3/3/22 23:59,43720.60622
3/4/22 23:59,43805.69536
3/5/22 23:59,43890.23652
3/6/22 23:59,43974.24461
3/7/22 23:59,44057.73391
3/8/22 23:59,44140.71814
3/9/22 23:59,44223.2105
3/10/22 23:59,44305.22365
3/11/22 23:59,44386.76981
3/12/22 23:59,44467.8607
3/13/22 23:59,44548.50765
3/14/22 23:59,44628.72154
3/15/22 23:59,44708.51289
3/16/22 23:59,44787.89183
3/17/22 23:59,44866.86815
3/18/22 23:59,44945.4513
3/19/22 23:59,45023.6504
3/20/22 23:59,45101.47428
3/21/22 23:59,45178.93148
3/22/22 23:59,45256.03023
3/23/22 23:59,45332.77855
3/24/22 23:59,45409.18415
3/25/22 23:59,45485.25454
3/26/22 23:59,45560.99697
3/27/22 23:59,45636.41848
3/28/22 23:59,45711.52591
3/29/22 23:59,45786.32587
3/30/22 23:59,45860.82478
3/31/22 23:59,45935.0289
4/1/22 23:59,46008.94428
4/2/22 23:59,46082.57681
4/3/22 23:59,46155.9322
4/4/22 23:59,46229.01603
4/5/22 23:59,46301.83369
4/6/22 23:59,46374.39046
4/7/22 23:59,46446.69145
4/8/22 23:59,46518.74165
4/9/22 23:59,46590.5459
4/10/22 23:59,46662.10893
