Date,Bitcoin_Value Prediction_NN ($)
1/1/22 23:59,28807.69047
1/2/22 23:59,28873.005
1/3/22 23:59,25410.62337
1/4/22 23:59,22372.56601
1/5/22 23:59,19207.54732
1/6/22 23:59,21245.27357
1/7/22 23:59,23144.91454
1/8/22 23:59,23740.47198
1/9/22 23:59,21672.81556
1/10/22 23:59,23101.24999
1/11/22 23:59,22846.26755
1/12/22 23:59,23946.69564
1/13/22 23:59,23780.21346
1/14/22 23:59,23710.60368
1/15/22 23:59,23938.25296
1/16/22 23:59,23612.41561
1/17/22 23:59,22526.09228
1/18/22 23:59,23696.26762
1/19/22 23:59,24807.77132
1/20/22 23:59,25368.8708
1/21/22 23:59,25052.7492
1/22/22 23:59,25005.68248
1/23/22 23:59,25100.4522
1/24/22 23:59,25205.7339
1/25/22 23:59,25669.3732
1/26/22 23:59,26645.08663
1/27/22 23:59,26895.40859
1/28/22 23:59,27304.74495
1/29/22 23:59,26708.9678
1/30/22 23:59,26285.06396
1/31/22 23:59,26692.95734
2/1/22 23:59,26548.85231
2/2/22 23:59,26279.67889
2/3/22 23:59,26389.95228
2/4/22 23:59,25137.56704
2/5/22 23:59,24462.28027
2/6/22 23:59,24907.82073
2/7/22 23:59,24993.36156
2/8/22 23:59,24665.41695
2/9/22 23:59,23088.24837
2/10/22 23:59,22459.35093
2/11/22 23:59,20295.63166
2/12/22 23:59,21056.18732
2/13/22 23:59,21950.6869
2/14/22 23:59,22418.05827
2/15/22 23:59,21659.5084
2/16/22 23:59,20779.22984
2/17/22 23:59,20655.4214
2/18/22 23:59,20542.8274
2/19/22 23:59,20569.10785
2/20/22 23:59,21747.23535
2/21/22 23:59,22182.39566
2/22/22 23:59,22785.44347
2/23/22 23:59,22811.75151
2/24/22 23:59,22286.52677
2/25/22 23:59,22038.81581
2/26/22 23:59,21493.99608
2/27/22 23:59,21306.44892
2/28/22 23:59,21350.06496
3/1/22 23:59,21049.92549
3/2/22 23:59,19929.49812
3/3/22 23:59,19813.12556
3/4/22 23:59,19743.34404
3/5/22 23:59,18870.75011
3/6/22 23:59,18449.14764
3/7/22 23:59,17200.96019
3/8/22 23:59,15913.20272
3/9/22 23:59,14902.20078
3/10/22 23:59,14525.76255
3/11/22 23:59,14471.20798
3/12/22 23:59,15627.95651
3/13/22 23:59,15464.7457
3/14/22 23:59,16783.37983
3/15/22 23:59,17968.32084
3/16/22 23:59,19722.2477
3/17/22 23:59,19075.60029
3/18/22 23:59,19640.78466
3/19/22 23:59,20007.31558
3/20/22 23:59,20110.5845
3/21/22 23:59,20088.96928
3/22/22 23:59,18979.03234
3/23/22 23:59,18740.3215
3/24/22 23:59,18683.23747
3/25/22 23:59,18429.05758
3/26/22 23:59,18697.554
3/27/22 23:59,19315.18649
3/28/22 23:59,19360.1717
3/29/22 23:59,19576.88822
3/30/22 23:59,19826.92433
3/31/22 23:59,19478.27656
4/1/22 23:59,19972.11145
4/2/22 23:59,20628.72579
4/3/22 23:59,21377.61257
4/4/22 23:59,22074.64275
4/5/22 23:59,21665.50301
4/6/22 23:59,21437.93964
4/7/22 23:59,21351.22197
4/8/22 23:59,21486.98233
4/9/22 23:59,21783.92381
4/10/22 23:59,21806.41303
4/11/22 23:59,21842.18717
4/12/22 23:59,21345.77729
4/13/22 23:59,21287.41066
4/14/22 23:59,21139.8401
4/15/22 23:59,21336.74213
4/16/22 23:59,21687.78149
4/17/22 23:59,21946.66494
4/18/22 23:59,22881.75572
4/19/22 23:59,22757.72567
4/20/22 23:59,22624.36607
4/21/22 23:59,22800.0016
4/22/22 23:59,23230.67311
4/23/22 23:59,24114.3326
4/24/22 23:59,24674.03205
4/25/22 23:59,25117.4445
4/26/22 23:59,25087.72418
4/27/22 23:59,24626.07356
4/28/22 23:59,24590.09517
4/29/22 23:59,24849.53443
4/30/22 23:59,24899.76281
5/1/22 23:59,25349.48842
5/2/22 23:59,25610.81157
5/3/22 23:59,25248.55388
5/4/22 23:59,26340.70891
5/5/22 23:59,27999.72945
5/6/22 23:59,28829.60535
5/7/22 23:59,28848.37783
5/8/22 23:59,27866.26498
5/9/22 23:59,27478.97845
5/10/22 23:59,25982.51977
5/11/22 23:59,25245.41548
5/12/22 23:59,25091.59088
5/13/22 23:59,25169.52559
5/14/22 23:59,25546.2522
5/15/22 23:59,26272.66535
5/16/22 23:59,26780.51283
5/17/22 23:59,27471.65025
5/18/22 23:59,27691.67523
5/19/22 23:59,27117.38003
5/20/22 23:59,26644.23713
5/21/22 23:59,26888.74038
5/22/22 23:59,26398.64591
5/23/22 23:59,27031.27813
5/24/22 23:59,26667.99867
5/25/22 23:59,26897.21294
5/26/22 23:59,26195.64184
5/27/22 23:59,26686.28184
5/28/22 23:59,26524.80312
5/29/22 23:59,25956.74123
5/30/22 23:59,26406.03795
5/31/22 23:59,26928.87081
6/1/22 23:59,26994.69111
6/2/22 23:59,27477.89093
6/3/22 23:59,28275.76447
6/4/22 23:59,27603.92997
6/5/22 23:59,27298.47224
6/6/22 23:59,24169.95717
6/7/22 23:59,24220.03323
6/8/22 23:59,26039.76675
6/9/22 23:59,26500.55969
6/10/22 23:59,26280.53637
6/11/22 23:59,26347.37842
6/12/22 23:59,25860.16722
6/13/22 23:59,26352.79465
6/14/22 23:59,26728.51298
6/15/22 23:59,26853.57304
6/16/22 23:59,27339.37952
6/17/22 23:59,27985.70397
6/18/22 23:59,29051.92575
6/19/22 23:59,29260.99623
6/20/22 23:59,30192.11734
6/21/22 23:59,29797.60298
6/22/22 23:59,30860.31134
6/23/22 23:59,34187.77024
6/24/22 23:59,35372.67669
6/25/22 23:59,36938.01562
6/26/22 23:59,38881.13611
6/27/22 23:59,41695.82789
6/28/22 23:59,39556.1492
6/29/22 23:59,37697.55936
6/30/22 23:59,37366.36605
7/1/22 23:59,38257.59756
7/2/22 23:59,40077.14912
7/3/22 23:59,41337.3845
7/4/22 23:59,41966.85106
7/5/22 23:59,41428.62862
7/6/22 23:59,41965.6844
7/7/22 23:59,42061.57317
7/8/22 23:59,43054.15843
7/9/22 23:59,45648.46995
7/10/22 23:59,48958.26867
7/11/22 23:59,52080.72591
7/12/22 23:59,57999.8867
7/13/22 23:59,65314.32874
7/14/22 23:59,70884.4623
7/15/22 23:59,64303.01348
7/16/22 23:59,67960.55821
7/17/22 23:59,72525.02694
7/18/22 23:59,79423.88217
7/19/22 23:59,84367.30003
7/20/22 23:59,85603.27471
7/21/22 23:59,88793.92043
7/22/22 23:59,96375.47731
7/23/22 23:59,122674.355
7/24/22 23:59,129296.1921
7/25/22 23:59,107572.3297
7/26/22 23:59,134285.7783
7/27/22 23:59,148487.345
7/28/22 23:59,166297.9683
7/29/22 23:59,156942.5104
7/30/22 23:59,160539.258
7/31/22 23:59,177666.4831
8/1/22 23:59,194020.7586
8/2/22 23:59,209488.9199
8/3/22 23:59,220554.6039
8/4/22 23:59,232395.2955
8/5/22 23:59,197828.3767
8/6/22 23:59,204866.6483
8/7/22 23:59,216370.1725
8/8/22 23:59,228285.1643
8/9/22 23:59,210772.8091
8/10/22 23:59,191742.3471
8/11/22 23:59,153586.8069
8/12/22 23:59,151546.4843
8/13/22 23:59,174889.3126
8/14/22 23:59,193827.6098
8/15/22 23:59,188542.1903
8/16/22 23:59,179265.9831
8/17/22 23:59,184530.659
8/18/22 23:59,180831.5361
8/19/22 23:59,175357.4864
8/20/22 23:59,158681.4616
8/21/22 23:59,142055.321
8/22/22 23:59,112916.2168
8/23/22 23:59,124071.9994
8/24/22 23:59,135655.4068
8/25/22 23:59,126423.2101
8/26/22 23:59,128433.1927
8/27/22 23:59,132395.3657
8/28/22 23:59,136315.9617
8/29/22 23:59,136532.2705
8/30/22 23:59,149924.8424
8/31/22 23:59,153103.43
9/1/22 23:59,148872.8471
9/2/22 23:59,149811.2482
9/3/22 23:59,154515.2712
9/4/22 23:59,153890.0669
