,x,,,,
1,6.32E-05,,1.25E+03,,1.25E+02
2,2494.268016,,1.25E+03,,1.25E+02
3,6.50E-05,,1.31E+03,,1.31E+02
4,2620.31034,,1.31E+03,,1.31E+02
5,6.53E-05,,1.32E+03,,1.32E+02
6,2631.076171,,1.32E+03,,1.32E+02
7,6.60E-05,,1.29E+03,,1.29E+02
8,2580.890514,,1.29E+03,,1.29E+02
9,6.46E-05,,1.32E+03,,1.32E+02
10,2634.352814,,1.32E+03,,1.32E+02
11,6.77E-05,,1.35E+03,,1.35E+02
12,2691.302701,,1.35E+03,,1.35E+02
13,6.64E-05,,1.32E+03,,1.32E+02
14,2647.66103,,1.32E+03,,1.32E+02
15,6.65E-05,,1.34E+03,,1.34E+02
16,2686.328217,,1.34E+03,,1.34E+02
17,6.69E-05,,1.33E+03,,1.33E+02
18,2664.612854,,1.33E+03,,1.33E+02
19,6.59E-05,,1.33E+03,,1.33E+02
20,2666.503586,,1.33E+03,,1.33E+02
21,6.71E-05,,1.33E+03,,1.33E+02
22,2661.02417,,1.33E+03,,1.33E+02
23,6.72E-05,,1.35E+03,,1.35E+02
24,2698.626897,,1.35E+03,,1.35E+02
25,7.75E-05,,1.69E+03,,1.69E+02
26,3373.91216,,1.69E+03,,1.69E+02
27,8.37E-05,,1.67E+03,,1.67E+02
28,3333.280826,,1.67E+03,,1.67E+02
29,8.34E-05,,1.69E+03,,1.69E+02
30,3378.52887,,1.69E+03,,1.69E+02
31,8.51E-05,,1.68E+03,,1.68E+02
32,3357.455859,,1.68E+03,,1.68E+02
33,8.42E-05,,1.58E+03,,1.58E+02
34,3160.301916,,1.58E+03,,1.58E+02
35,7.55E-05,,1.51E+03,,1.51E+02
36,3012.323875,,1.51E+03,,1.51E+02
37,7.77E-05,,1.54E+03,,1.54E+02
38,3077.24042,,1.54E+03,,1.54E+02
39,7.94E-05,,1.62E+03,,1.62E+02
40,3245.153159,,1.62E+03,,1.62E+02
41,8.07E-05,,1.62E+03,,1.62E+02
42,3238.030936,,1.62E+03,,1.62E+02
